Date,Power,Appliance,Household,Day_of_week,month,weekly_power,week
2012-06-27,30.75376033424037,Fridge,04,Wednesday,6,38.38629981794911,26
2012-06-27,50.51287193645834,Fridge,05,Wednesday,6,18.608653936087382,26
2012-06-27,25.917666207864517,Entertainment,04,Wednesday,6,38.38629981794911,26
2012-06-27,9.623898294162604,Entertainment,05,Wednesday,6,18.608653936087382,26
2012-06-27,25.64849195717593,Entertainment,06,Wednesday,6,11.780901708680556,26
2012-06-27,12.112794819328702,Fountain,05,Wednesday,6,18.608653936087382,26
2012-06-27,20.07535535532407,Router,06,Wednesday,6,11.780901708680556,26
2012-06-27,205.70937248315138,Freezer,04,Wednesday,6,38.38629981794911,26
2012-06-27,3.2181242297207957,Lamp,04,Wednesday,6,38.38629981794911,26
2012-06-27,12.655869302662037,Coffee machine,05,Wednesday,6,18.608653936087382,26
2012-06-27,5.1101967592592594e-05,Coffee machine,06,Wednesday,6,11.780901708680556,26
2012-06-27,18.37815389837963,Laptop,06,Wednesday,6,11.780901708680556,26
2012-06-27,17.600329229662798,Microwave,04,Wednesday,6,38.38629981794911,26
2012-06-27,5.788399428009258,Tablet,05,Wednesday,6,18.608653936087382,26
2012-06-27,0.0,Lamp,06,Wednesday,6,11.780901708680556,26
2012-06-27,7.984266853808768,Kitchen appliances,04,Wednesday,6,38.38629981794911,26
2012-06-27,12.08457754398148,Fridge,06,Wednesday,6,11.780901708680556,26
2012-06-27,7.292880701388889,Microwave,05,Wednesday,6,18.608653936087382,26
2012-06-27,1.1179654828382184,Tablet,04,Wednesday,6,38.38629981794911,26
2012-06-27,6.279682103935186,Kettle,06,Wednesday,6,11.780901708680556,26
2012-06-27,32.27386307060185,PC,05,Wednesday,6,18.608653936087382,26
2012-06-27,14.788913722306,Stereo and laptop,04,Wednesday,6,38.38629981794911,26
2012-06-28,12.05961465447098,Fridge,06,Thursday,6,8.50261792058002,26
2012-06-28,28.175610051343085,PC,05,Thursday,6,18.288773641971773,26
2012-06-28,10.317669691664705,Entertainment,05,Thursday,6,18.288773641971773,26
2012-06-28,8.899328859060403e-05,Kettle,06,Thursday,6,8.50261792058002,26
2012-06-28,3.0614262244869546e-05,Lamp,06,Thursday,6,8.50261792058002,26
2012-06-28,8.571322557502283,Fountain,05,Thursday,6,18.288773641971773,26
2012-06-28,5.666958308309694,Laptop,06,Thursday,6,8.50261792058002,26
2012-06-28,18.982975006919077,Stereo and laptop,04,Thursday,6,41.80692374189748,26
2012-06-28,5.409244111932242,Microwave,05,Thursday,6,18.288773641971773,26
2012-06-28,4.6185315614663915,Tablet,05,Thursday,6,18.288773641971773,26
2012-06-28,20.366802009548195,Microwave,04,Thursday,6,41.80692374189748,26
2012-06-28,20.10339503632464,Router,06,Thursday,6,8.50261792058002,26
2012-06-28,6.680015520929911,Coffee machine,06,Thursday,6,8.50261792058002,26
2012-06-28,26.573850180172695,Entertainment,04,Thursday,6,41.80692374189748,26
2012-06-28,207.9167328877449,Freezer,04,Thursday,6,41.80692374189748,26
2012-06-28,15.00822231647409,Entertainment,06,Thursday,6,8.50261792058002,26
2012-06-28,1.1136998725524114,Tablet,04,Thursday,6,41.80692374189748,26
2012-06-28,23.466212281740816,Kitchen appliances,04,Thursday,6,41.80692374189748,26
2012-06-28,55.8775619702736,Fridge,05,Thursday,6,18.288773641971773,26
2012-06-28,32.6197051412875,Fridge,04,Thursday,6,41.80692374189748,26
2012-06-28,3.4154125552142154,Lamp,04,Thursday,6,41.80692374189748,26
2012-06-28,15.051475549620116,Coffee machine,05,Thursday,6,18.288773641971773,26
2012-06-29,20.19411022890066,Router,06,Friday,6,14.684272148357994,26
2012-06-29,0.9562576249960667,Tablet,04,Friday,6,48.266177954616076,26
2012-06-29,4.574218149165489,Tablet,05,Friday,6,19.075204233236615,26
2012-06-29,7.248404278019926,Coffee machine,06,Friday,6,14.684272148357994,26
2012-06-29,0.00010212740122668825,Kettle,06,Friday,6,14.684272148357994,26
2012-06-29,79.11039534934946,Microwave,04,Friday,6,48.266177954616076,26
2012-06-29,8.081982055810897,Entertainment,05,Friday,6,19.075204233236615,26
2012-06-29,34.57464780329726,Fridge,04,Friday,6,48.266177954616076,26
2012-06-29,56.673494308664644,Entertainment,06,Friday,6,14.684272148357994,26
2012-06-29,0.0,Lamp,06,Friday,6,14.684272148357994,26
2012-06-29,54.415560616334425,Fridge,05,Friday,6,19.075204233236615,26
2012-06-29,12.739925900249835,Coffee machine,05,Friday,6,19.075204233236615,26
2012-06-29,13.316223629870846,Kitchen appliances,04,Friday,6,48.266177954616076,26
2012-06-29,8.986730402867158,Microwave,05,Friday,6,19.075204233236615,26
2012-06-29,5.671662652714845,Laptop,06,Friday,6,14.684272148357994,26
2012-06-29,18.309918240855822,Entertainment,04,Friday,6,48.266177954616076,26
2012-06-29,12.620273421754826,Fountain,05,Friday,6,19.075204233236615,26
2012-06-29,13.002131442804659,Fridge,06,Friday,6,14.684272148357994,26
2012-06-29,3.412983236529537,Lamp,04,Friday,6,48.266177954616076,26
2012-06-29,32.107739086473686,PC,05,Friday,6,19.075204233236615,26
2012-06-29,214.77829499417925,Freezer,04,Friday,6,48.266177954616076,26
2012-06-29,21.670702757850357,Stereo and laptop,04,Friday,6,48.266177954616076,26
2012-06-30,7.5378822767741775,Coffee machine,05,Saturday,6,19.018522969598695,26
2012-06-30,27.5622097974537,PC,05,Saturday,6,19.018522969598695,26
2012-06-30,56.42153420601852,Fridge,05,Saturday,6,19.018522969598695,26
2012-06-30,4.453567175925927,Kettle,06,Saturday,6,12.573248266101036,26
2012-06-30,9.006127176851852,Kitchen appliances,04,Saturday,6,43.76636882970197,26
2012-06-30,35.67066690636574,Fridge,04,Saturday,6,43.76636882970197,26
